date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:11:28	44/44	---M-Z	200	added ('OK')	text/plain	etag:%2218-5440bec8839a4%22	http://heyjackass.com/robots.txt		(from )
15:11:28	145808/145808	---M-Z	200	added ('OK')	text/html	date:Thu,%2005%20Jan%202017%2023:11:34%20GMT	http://heyjackass.com/	E:/HeyJackass/heyjackass.com/index.html	(from )
15:11:29	503/503	---M--	200	added ('OK')	image/png	etag:%221f7-51266384ced88%22	http://heyjackass.com/favicon-32x32.png	E:/HeyJackass/heyjackass.com/favicon-32x32.png	(from http://heyjackass.com/)
15:11:29	13904/13904	---M--	200	added ('OK')	image/png	etag:%223650-543f62b41b6c3%22	http://heyjackass.com/wp-content/uploads/2016/07/twitter-card.png	E:/HeyJackass/heyjackass.com/wp-content/uploads/2016/07/twitter-card.png	(from http://heyjackass.com/)
15:11:29	868/868	---M--	200	added ('OK')	image/png	etag:%22364-51266384d6b88%22	http://heyjackass.com/favicon-96x96.png	E:/HeyJackass/heyjackass.com/favicon-96x96.png	(from http://heyjackass.com/)
15:11:29	329/329	---M--	200	added ('OK')	image/png	etag:%22149-51266384cdab6%22	http://heyjackass.com/favicon-16x16.png	E:/HeyJackass/heyjackass.com/favicon-16x16.png	(from http://heyjackass.com/)
15:11:31	42/42	---MCZ	405	error ('Method%20Not%20Allowed')	text/plain	date:Thu,%2005%20Jan%202017%2023:11:37%20GMT	http://heyjackass.com/xmlrpc.php	E:/HeyJackass/heyjackass.com/xmlrpc.4.delayed	(from http://heyjackass.com/)
15:11:31	36762/36762	---M-Z	200	added ('OK')	text/css	etag:%228f9a-52dcece49a8c0-gzip%22	http://heyjackass.com/wp-content/themes/shaken-grid-premium/style.css?v=20120423234859	E:/HeyJackass/heyjackass.com/wp-content/themes/shaken-grid-premium/styled858.css	(from http://heyjackass.com/)
15:11:32	5493/5493	---M-Z	200	added ('OK')	text/css	etag:%221575-511a2621e7b94-gzip%22	http://heyjackass.com/wp-content/themes/shaken-grid-premium/js/fancybox/jquery.fancybox-1.3.4.css	E:/HeyJackass/heyjackass.com/wp-content/themes/shaken-grid-premium/js/fancybox/jquery.fancybox-1.3.4.css	(from http://heyjackass.com/)
15:11:32	6174/6174	---M-Z	200	added ('OK')	text/css	etag:%22181e-511a261e383af-gzip%22	http://heyjackass.com/wp-content/themes/shaken-grid-premium/skins/dark.css	E:/HeyJackass/heyjackass.com/wp-content/themes/shaken-grid-premium/skins/dark.css	(from http://heyjackass.com/)
15:11:32	6671/6671	---M-Z	200	added ('OK')	text/css	etag:%221a0f-531976904d540-gzip%22	http://heyjackass.com/wp-content/tablepress-combined.min.css?ver=36	E:/HeyJackass/heyjackass.com/wp-content/tablepress-combined.min5fa3.css	(from http://heyjackass.com/)
15:11:33	97184/97184	---M-Z	200	added ('OK')	application/javascript	etag:%2217ba0-5440bed55e38d-gzip%22	http://heyjackass.com/wp-includes/js/jquery/jquery.js?ver=1.12.4	E:/HeyJackass/heyjackass.com/wp-includes/js/jquery/jqueryb8ff.js	(from http://heyjackass.com/)
15:11:33	10056/10056	---M-Z	200	added ('OK')	application/javascript	etag:%222748-5440bed5534e7-gzip%22	http://heyjackass.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	E:/HeyJackass/heyjackass.com/wp-includes/js/jquery/jquery-migrate.min330a.js	(from http://heyjackass.com/)
15:11:33	818/818	---M-Z	200	added ('OK')	text/xml	date:Thu,%2005%20Jan%202017%2023:11:39%20GMT	http://heyjackass.com/xmlrpc.php?rsd	E:/HeyJackass/heyjackass.com/xmlrpc0db0.php	(from http://heyjackass.com/)
15:11:34	1045/1045	---M--	200	added ('OK')	application/xml	etag:%22415-5440bed26d8cd%22	http://heyjackass.com/wp-includes/wlwmanifest.xml	E:/HeyJackass/heyjackass.com/wp-includes/wlwmanifest.xml	(from http://heyjackass.com/)
15:11:36	32209/32209	---M--	200	added ('OK')	application/rss+xml	etag:%22afb3f097d690565a0b765d9dce9fc7f7%22	http://heyjackass.com/feed/	E:/HeyJackass/heyjackass.com/feed/index.html	(from http://heyjackass.com/)
15:11:37	20625/20625	---M--	200	added ('OK')	application/rss+xml	etag:%2255373271d3c74248b3863beb1948820e%22	http://heyjackass.com/comments/feed/	E:/HeyJackass/heyjackass.com/comments/feed/index.html	(from http://heyjackass.com/)
